Sample_name	Species	Read_1	Read_2
ES-C-ST001-07DEC15-0141D	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141D_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141D_2.fastq.gz
ES-C-ST001-07DEC15-0141I	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141I_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141I_2.fastq.gz
ES-C-ST001-07DEC15-0141K	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141K_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141K_2.fastq.gz
ES-C-ST001-07DEC15-0141L	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141L_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141L_2.fastq.gz
ES-C-ST001-15DEC14-0062A	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062A_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062A_2.fastq.gz
ES-C-ST001-15DEC14-0062C	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062C_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062C_2.fastq.gz
ES-C-ST001-15DEC14-0062J	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062J_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062J_2.fastq.gz
ES-C-ST001-15DEC14-0062K	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062K_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062K_2.fastq.gz
ES-C-ST001-15DEC14-0062L	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062L_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062L_2.fastq.gz
ES-C-ST001-15DEC14-0062M	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062M_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-15DEC14-0062M_2.fastq.gz
ES-C-ST001-15JUN15-0096B	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-15JUN15-0096B_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-15JUN15-0096B_2.fastq.gz
ES-C-ST001-15JUN15-0096J	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-15JUN15-0096J_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-15JUN15-0096J_2.fastq.gz
ES-C-ST001-17FEB15-0065A	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065A_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065A_2.fastq.gz
ES-C-ST001-17FEB15-0065D	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065D_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065D_2.fastq.gz
ES-C-ST001-17FEB15-0065I	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065I_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065I_2.fastq.gz
ES-C-ST001-17FEB15-0065J	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065J_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065J_2.fastq.gz
ES-C-ST001-17FEB15-0065K	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065K_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065K_2.fastq.gz
ES-C-ST001-17FEB15-0065M	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065M_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-17FEB15-0065M_2.fastq.gz
ES-C-ST001-20OCT14-0053M	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-20OCT14-0053M_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-20OCT14-0053M_2.fastq.gz
ES-C-ST001-25AUG14-0039B	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-25AUG14-0039B_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-25AUG14-0039B_2.fastq.gz
ES-C-ST001-25AUG14-0039C	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-25AUG14-0039C_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-25AUG14-0039C_2.fastq.gz
